fipdate,exposed_aw,exposed_po,exposed_wd,date,fips
60092019-08-15,1,0,0,2019-08-15,6009
60092019-08-16,1,0,0,2019-08-16,6009
60092019-08-17,1,0,0,2019-08-17,6009
60092019-08-24,1,0,0,2019-08-24,6009
60092019-08-25,1,0,0,2019-08-25,6009
60092019-08-26,1,0,0,2019-08-26,6009
60092019-08-27,1,0,0,2019-08-27,6009
60092019-08-28,1,0,0,2019-08-28,6009
60092019-09-02,1,0,0,2019-09-02,6009
60092019-09-03,1,0,0,2019-09-03,6009
60092019-09-04,1,0,0,2019-09-04,6009
60092019-09-05,1,0,0,2019-09-05,6009
60092019-09-14,1,0,0,2019-09-14,6009
60092019-09-15,1,0,0,2019-09-15,6009
60092019-09-26,1,0,0,2019-09-26,6009
60092019-10-10,0,1,0,2019-10-10,6009
60092019-10-11,0,1,0,2019-10-11,6009
60092019-10-12,0,1,0,2019-10-12,6009
60092019-10-13,0,1,0,2019-10-13,6009
60092019-10-24,0,1,0,2019-10-24,6009
60092019-10-25,0,1,0,2019-10-25,6009
60092019-10-29,0,1,0,2019-10-29,6009
60092019-10-30,0,1,0,2019-10-30,6009
60092019-10-31,0,1,0,2019-10-31,6009
60092019-11-27,0,1,0,2019-11-27,6009
60092019-11-28,0,1,0,2019-11-28,6009
60092019-11-29,0,1,0,2019-11-29,6009
60112018-05-29,1,0,0,2018-05-29,6011
60112018-05-30,1,0,0,2018-05-30,6011
60112018-06-03,1,0,0,2018-06-03,6011
60112018-06-04,1,0,0,2018-06-04,6011
60112018-06-13,1,0,0,2018-06-13,6011
60112018-06-14,1,0,0,2018-06-14,6011
60112018-06-23,1,0,1,2018-06-23,6011
60112018-06-24,1,0,1,2018-06-24,6011
60112018-06-25,0,0,1,2018-06-25,6011
60112018-06-26,0,0,1,2018-06-26,6011
60112018-06-27,0,0,1,2018-06-27,6011
60112018-06-28,0,0,1,2018-06-28,6011
60112018-06-29,0,0,1,2018-06-29,6011
60112018-06-30,0,0,1,2018-06-30,6011
60112018-07-01,1,0,1,2018-07-01,6011
60112018-07-02,1,0,1,2018-07-02,6011
60112018-07-03,0,0,1,2018-07-03,6011
60112018-07-04,0,0,1,2018-07-04,6011
60112018-07-05,0,0,1,2018-07-05,6011
60112018-07-06,0,0,1,2018-07-06,6011
60112018-07-07,0,0,1,2018-07-07,6011
60112018-07-08,0,0,1,2018-07-08,6011
60112018-07-15,1,0,0,2018-07-15,6011
60112018-07-18,1,0,0,2018-07-18,6011
60112018-07-19,1,0,0,2018-07-19,6011
60112018-07-20,1,0,0,2018-07-20,6011
60112018-07-23,1,0,0,2018-07-23,6011
60112018-07-24,1,0,0,2018-07-24,6011
60112018-07-25,1,0,0,2018-07-25,6011
60112018-07-26,1,0,0,2018-07-26,6011
60112018-07-27,1,0,1,2018-07-27,6011
60112018-07-28,1,0,1,2018-07-28,6011
60112018-07-29,1,0,1,2018-07-29,6011
60112018-07-30,0,0,1,2018-07-30,6011
60112018-07-31,0,0,1,2018-07-31,6011
60112018-08-01,1,0,1,2018-08-01,6011
60112018-08-02,0,0,1,2018-08-02,6011
60112018-08-03,0,0,1,2018-08-03,6011
60112018-08-04,0,0,1,2018-08-04,6011
60112018-08-05,0,0,1,2018-08-05,6011
60112018-08-06,0,0,1,2018-08-06,6011
60112018-08-07,0,0,1,2018-08-07,6011
60112018-08-08,0,0,1,2018-08-08,6011
60112018-08-09,0,0,1,2018-08-09,6011
60112018-08-10,0,0,1,2018-08-10,6011
60112018-08-11,1,0,1,2018-08-11,6011
60112018-08-12,0,0,1,2018-08-12,6011
60112018-08-13,0,0,1,2018-08-13,6011
60112018-08-14,0,0,1,2018-08-14,6011
60112018-08-15,0,0,1,2018-08-15,6011
60112018-08-16,0,0,1,2018-08-16,6011
60112018-08-17,0,0,1,2018-08-17,6011
60112018-08-18,0,0,1,2018-08-18,6011
60112018-08-19,1,0,1,2018-08-19,6011
60112018-08-20,0,0,1,2018-08-20,6011
60112018-08-21,0,0,1,2018-08-21,6011
60112018-08-22,0,0,1,2018-08-22,6011
60112018-08-23,0,0,1,2018-08-23,6011
60112018-08-24,0,0,1,2018-08-24,6011
60112018-08-25,0,0,1,2018-08-25,6011
60112018-08-26,0,0,1,2018-08-26,6011
60112018-08-27,0,0,1,2018-08-27,6011
60112018-08-28,0,0,1,2018-08-28,6011
60112018-08-29,0,0,1,2018-08-29,6011
60112018-08-30,0,0,1,2018-08-30,6011
60112018-08-31,0,0,1,2018-08-31,6011
60112018-09-01,0,0,1,2018-09-01,6011
60112018-09-02,0,0,1,2018-09-02,6011
60112018-09-03,0,0,1,2018-09-03,6011
60112018-09-04,0,0,1,2018-09-04,6011
60112018-09-05,0,0,1,2018-09-05,6011
60112018-09-06,0,0,1,2018-09-06,6011
60112018-09-07,0,0,1,2018-09-07,6011
60112018-09-08,0,0,1,2018-09-08,6011
60112018-09-09,0,0,1,2018-09-09,6011
60112018-09-10,0,0,1,2018-09-10,6011
60112018-09-11,0,0,1,2018-09-11,6011
60112018-09-12,0,0,1,2018-09-12,6011
60112018-09-13,0,0,1,2018-09-13,6011
60112018-09-14,0,0,1,2018-09-14,6011
60112018-09-15,0,0,1,2018-09-15,6011
60112018-09-16,0,0,1,2018-09-16,6011
60112018-09-17,0,0,1,2018-09-17,6011
60112018-09-18,0,0,1,2018-09-18,6011
60112018-09-19,0,0,1,2018-09-19,6011
60112018-09-20,0,0,1,2018-09-20,6011
60112018-09-21,0,0,1,2018-09-21,6011
60112018-09-22,0,0,1,2018-09-22,6011
60112018-09-23,0,0,1,2018-09-23,6011
60112018-09-24,0,0,1,2018-09-24,6011
60112018-09-25,0,0,1,2018-09-25,6011
60112018-09-26,0,0,1,2018-09-26,6011
60112018-09-27,0,0,1,2018-09-27,6011
60112019-06-02,1,0,0,2019-06-02,6011
60112019-06-04,1,0,0,2019-06-04,6011
60112019-06-05,1,0,0,2019-06-05,6011
60112019-06-06,1,0,0,2019-06-06,6011
60112019-06-08,0,0,1,2019-06-08,6011
60112019-06-09,0,0,1,2019-06-09,6011
60112019-06-10,0,0,1,2019-06-10,6011
60112019-06-11,1,0,1,2019-06-11,6011
60112019-06-12,1,0,1,2019-06-12,6011
60112019-06-13,1,0,1,2019-06-13,6011
60112019-06-14,0,0,1,2019-06-14,6011
60112019-06-15,0,0,1,2019-06-15,6011
60112019-06-18,1,0,0,2019-06-18,6011
60112019-06-19,1,0,0,2019-06-19,6011
60112019-06-20,1,0,0,2019-06-20,6011
60112019-07-26,1,0,0,2019-07-26,6011
60112019-07-28,1,0,0,2019-07-28,6011
60112019-07-29,1,0,0,2019-07-29,6011
60112019-08-15,1,0,0,2019-08-15,6011
