fipdate,date_aw,fips_aw,exposed_aw
60712018-07-08,2018-07-08,6071,1
60732018-07-08,2018-07-08,6073,1
60792018-07-08,2018-07-08,6079,1
60832018-07-08,2018-07-08,6083,1
60852018-07-08,2018-07-08,6085,1
60992018-07-08,2018-07-08,6099,1
61072018-07-08,2018-07-08,6107,1
61112018-07-08,2018-07-08,6111,1
60192018-07-09,2018-07-09,6019,1
60252018-07-09,2018-07-09,6025,1
60272018-07-09,2018-07-09,6027,1
60292018-07-09,2018-07-09,6029,1
60372018-07-09,2018-07-09,6037,1
60392018-07-09,2018-07-09,6039,1
60432018-07-09,2018-07-09,6043,1
60532018-07-09,2018-07-09,6053,1
60592018-07-09,2018-07-09,6059,1
60652018-07-09,2018-07-09,6065,1
60692018-07-09,2018-07-09,6069,1
60712018-07-09,2018-07-09,6071,1
60732018-07-09,2018-07-09,6073,1
60792018-07-09,2018-07-09,6079,1
60832018-07-09,2018-07-09,6083,1
61072018-07-09,2018-07-09,6107,1
61112018-07-09,2018-07-09,6111,1
60272018-07-10,2018-07-10,6027,1
60372018-07-10,2018-07-10,6037,1
60532018-07-10,2018-07-10,6053,1
60592018-07-10,2018-07-10,6059,1
60692018-07-10,2018-07-10,6069,1
60732018-07-10,2018-07-10,6073,1
60792018-07-10,2018-07-10,6079,1
60832018-07-10,2018-07-10,6083,1
60852018-07-10,2018-07-10,6085,1
61112018-07-10,2018-07-10,6111,1
60372018-07-11,2018-07-11,6037,1
60532018-07-11,2018-07-11,6053,1
60592018-07-11,2018-07-11,6059,1
60792018-07-11,2018-07-11,6079,1
61112018-07-11,2018-07-11,6111,1
60192018-07-12,2018-07-12,6019,1
60392018-07-12,2018-07-12,6039,1
60592018-07-12,2018-07-12,6059,1
60072018-07-13,2018-07-13,6007,1
60092018-07-13,2018-07-13,6009,1
60172018-07-13,2018-07-13,6017,1
60192018-07-13,2018-07-13,6019,1
60212018-07-13,2018-07-13,6021,1
60312018-07-13,2018-07-13,6031,1
60392018-07-13,2018-07-13,6039,1
60432018-07-13,2018-07-13,6043,1
60472018-07-13,2018-07-13,6047,1
60572018-07-13,2018-07-13,6057,1
60592018-07-13,2018-07-13,6059,1
60612018-07-13,2018-07-13,6061,1
60892018-07-13,2018-07-13,6089,1
60932018-07-13,2018-07-13,6093,1
61032018-07-13,2018-07-13,6103,1
61052018-07-13,2018-07-13,6105,1
61152018-07-13,2018-07-13,6115,1
60092018-07-14,2018-07-14,6009,1
60192018-07-14,2018-07-14,6019,1
60292018-07-14,2018-07-14,6029,1
60312018-07-14,2018-07-14,6031,1
60372018-07-14,2018-07-14,6037,1
60392018-07-14,2018-07-14,6039,1
60432018-07-14,2018-07-14,6043,1
60472018-07-14,2018-07-14,6047,1
60792018-07-14,2018-07-14,6079,1
60932018-07-14,2018-07-14,6093,1
60992018-07-14,2018-07-14,6099,1
61052018-07-14,2018-07-14,6105,1
60052018-07-15,2018-07-15,6005,1
60072018-07-15,2018-07-15,6007,1
60092018-07-15,2018-07-15,6009,1
60112018-07-15,2018-07-15,6011,1
60172018-07-15,2018-07-15,6017,1
60192018-07-15,2018-07-15,6019,1
60212018-07-15,2018-07-15,6021,1
60252018-07-15,2018-07-15,6025,1
60292018-07-15,2018-07-15,6029,1
60312018-07-15,2018-07-15,6031,1
60332018-07-15,2018-07-15,6033,1
60352018-07-15,2018-07-15,6035,1
60372018-07-15,2018-07-15,6037,1
60392018-07-15,2018-07-15,6039,1
60432018-07-15,2018-07-15,6043,1
60452018-07-15,2018-07-15,6045,1
60472018-07-15,2018-07-15,6047,1
60492018-07-15,2018-07-15,6049,1
60572018-07-15,2018-07-15,6057,1
60592018-07-15,2018-07-15,6059,1
60612018-07-15,2018-07-15,6061,1
60652018-07-15,2018-07-15,6065,1
60712018-07-15,2018-07-15,6071,1
60732018-07-15,2018-07-15,6073,1
60792018-07-15,2018-07-15,6079,1
60892018-07-15,2018-07-15,6089,1
60932018-07-15,2018-07-15,6093,1
61032018-07-15,2018-07-15,6103,1
61052018-07-15,2018-07-15,6105,1
61072018-07-15,2018-07-15,6107,1
61152018-07-15,2018-07-15,6115,1
60192018-07-16,2018-07-16,6019,1
60292018-07-16,2018-07-16,6029,1
60312018-07-16,2018-07-16,6031,1
60332018-07-16,2018-07-16,6033,1
60372018-07-16,2018-07-16,6037,1
60392018-07-16,2018-07-16,6039,1
60432018-07-16,2018-07-16,6043,1
60572018-07-16,2018-07-16,6057,1
60612018-07-16,2018-07-16,6061,1
60892018-07-16,2018-07-16,6089,1
61032018-07-16,2018-07-16,6103,1
61052018-07-16,2018-07-16,6105,1
61072018-07-16,2018-07-16,6107,1
60072018-07-17,2018-07-17,6007,1
60172018-07-17,2018-07-17,6017,1
60192018-07-17,2018-07-17,6019,1
60252018-07-17,2018-07-17,6025,1
60272018-07-17,2018-07-17,6027,1
60292018-07-17,2018-07-17,6029,1
60332018-07-17,2018-07-17,6033,1
60392018-07-17,2018-07-17,6039,1
60432018-07-17,2018-07-17,6043,1
60572018-07-17,2018-07-17,6057,1
60652018-07-17,2018-07-17,6065,1
60712018-07-17,2018-07-17,6071,1
60892018-07-17,2018-07-17,6089,1
60932018-07-17,2018-07-17,6093,1
61032018-07-17,2018-07-17,6103,1
61052018-07-17,2018-07-17,6105,1
61072018-07-17,2018-07-17,6107,1
60072018-07-18,2018-07-18,6007,1
60112018-07-18,2018-07-18,6011,1
60172018-07-18,2018-07-18,6017,1
60192018-07-18,2018-07-18,6019,1
60212018-07-18,2018-07-18,6021,1
60272018-07-18,2018-07-18,6027,1
60292018-07-18,2018-07-18,6029,1
60312018-07-18,2018-07-18,6031,1
60332018-07-18,2018-07-18,6033,1
60392018-07-18,2018-07-18,6039,1
60432018-07-18,2018-07-18,6043,1
60452018-07-18,2018-07-18,6045,1
60572018-07-18,2018-07-18,6057,1
60612018-07-18,2018-07-18,6061,1
60712018-07-18,2018-07-18,6071,1
60792018-07-18,2018-07-18,6079,1
60892018-07-18,2018-07-18,6089,1
60932018-07-18,2018-07-18,6093,1
61032018-07-18,2018-07-18,6103,1
61052018-07-18,2018-07-18,6105,1
61072018-07-18,2018-07-18,6107,1
61152018-07-18,2018-07-18,6115,1
60052018-07-19,2018-07-19,6005,1
60072018-07-19,2018-07-19,6007,1
60092018-07-19,2018-07-19,6009,1
60112018-07-19,2018-07-19,6011,1
60172018-07-19,2018-07-19,6017,1
60192018-07-19,2018-07-19,6019,1
60212018-07-19,2018-07-19,6021,1
60272018-07-19,2018-07-19,6027,1
60292018-07-19,2018-07-19,6029,1
60312018-07-19,2018-07-19,6031,1
60332018-07-19,2018-07-19,6033,1
60392018-07-19,2018-07-19,6039,1
60432018-07-19,2018-07-19,6043,1
60452018-07-19,2018-07-19,6045,1
60472018-07-19,2018-07-19,6047,1
60532018-07-19,2018-07-19,6053,1
60552018-07-19,2018-07-19,6055,1
60572018-07-19,2018-07-19,6057,1
60612018-07-19,2018-07-19,6061,1
60672018-07-19,2018-07-19,6067,1
60692018-07-19,2018-07-19,6069,1
60792018-07-19,2018-07-19,6079,1
60852018-07-19,2018-07-19,6085,1
60892018-07-19,2018-07-19,6089,1
60932018-07-19,2018-07-19,6093,1
60992018-07-19,2018-07-19,6099,1
61012018-07-19,2018-07-19,6101,1
61032018-07-19,2018-07-19,6103,1
61052018-07-19,2018-07-19,6105,1
61072018-07-19,2018-07-19,6107,1
61092018-07-19,2018-07-19,6109,1
61132018-07-19,2018-07-19,6113,1
61152018-07-19,2018-07-19,6115,1
60052018-07-20,2018-07-20,6005,1
60072018-07-20,2018-07-20,6007,1
60092018-07-20,2018-07-20,6009,1
60112018-07-20,2018-07-20,6011,1
60172018-07-20,2018-07-20,6017,1
60192018-07-20,2018-07-20,6019,1
60212018-07-20,2018-07-20,6021,1
60272018-07-20,2018-07-20,6027,1
60292018-07-20,2018-07-20,6029,1
60312018-07-20,2018-07-20,6031,1
60332018-07-20,2018-07-20,6033,1
60392018-07-20,2018-07-20,6039,1
60432018-07-20,2018-07-20,6043,1
60452018-07-20,2018-07-20,6045,1
60472018-07-20,2018-07-20,6047,1
60532018-07-20,2018-07-20,6053,1
60572018-07-20,2018-07-20,6057,1
60612018-07-20,2018-07-20,6061,1
60692018-07-20,2018-07-20,6069,1
60792018-07-20,2018-07-20,6079,1
60852018-07-20,2018-07-20,6085,1
60892018-07-20,2018-07-20,6089,1
60992018-07-20,2018-07-20,6099,1
61012018-07-20,2018-07-20,6101,1
61032018-07-20,2018-07-20,6103,1
61052018-07-20,2018-07-20,6105,1
61072018-07-20,2018-07-20,6107,1
61112018-07-20,2018-07-20,6111,1
61152018-07-20,2018-07-20,6115,1
60192018-07-21,2018-07-21,6019,1
60312018-07-21,2018-07-21,6031,1
60392018-07-21,2018-07-21,6039,1
60432018-07-21,2018-07-21,6043,1
60472018-07-21,2018-07-21,6047,1
61072018-07-21,2018-07-21,6107,1
60072018-07-23,2018-07-23,6007,1
60112018-07-23,2018-07-23,6011,1
60192018-07-23,2018-07-23,6019,1
60212018-07-23,2018-07-23,6021,1
60252018-07-23,2018-07-23,6025,1
60312018-07-23,2018-07-23,6031,1
60332018-07-23,2018-07-23,6033,1
60372018-07-23,2018-07-23,6037,1
60472018-07-23,2018-07-23,6047,1
60552018-07-23,2018-07-23,6055,1
60592018-07-23,2018-07-23,6059,1
60612018-07-23,2018-07-23,6061,1
60732018-07-23,2018-07-23,6073,1
60792018-07-23,2018-07-23,6079,1
61012018-07-23,2018-07-23,6101,1
61032018-07-23,2018-07-23,6103,1
61132018-07-23,2018-07-23,6113,1
61152018-07-23,2018-07-23,6115,1
60052018-07-24,2018-07-24,6005,1
60072018-07-24,2018-07-24,6007,1
60092018-07-24,2018-07-24,6009,1
60112018-07-24,2018-07-24,6011,1
60172018-07-24,2018-07-24,6017,1
60192018-07-24,2018-07-24,6019,1
60212018-07-24,2018-07-24,6021,1
60252018-07-24,2018-07-24,6025,1
60272018-07-24,2018-07-24,6027,1
60292018-07-24,2018-07-24,6029,1
60312018-07-24,2018-07-24,6031,1
60332018-07-24,2018-07-24,6033,1
60372018-07-24,2018-07-24,6037,1
60392018-07-24,2018-07-24,6039,1
60432018-07-24,2018-07-24,6043,1
60472018-07-24,2018-07-24,6047,1
60532018-07-24,2018-07-24,6053,1
60552018-07-24,2018-07-24,6055,1
60572018-07-24,2018-07-24,6057,1
60592018-07-24,2018-07-24,6059,1
60612018-07-24,2018-07-24,6061,1
60652018-07-24,2018-07-24,6065,1
60672018-07-24,2018-07-24,6067,1
60692018-07-24,2018-07-24,6069,1
60712018-07-24,2018-07-24,6071,1
60732018-07-24,2018-07-24,6073,1
60772018-07-24,2018-07-24,6077,1
60792018-07-24,2018-07-24,6079,1
60852018-07-24,2018-07-24,6085,1
60892018-07-24,2018-07-24,6089,1
60932018-07-24,2018-07-24,6093,1
60952018-07-24,2018-07-24,6095,1
60992018-07-24,2018-07-24,6099,1
61012018-07-24,2018-07-24,6101,1
61032018-07-24,2018-07-24,6103,1
61052018-07-24,2018-07-24,6105,1
61072018-07-24,2018-07-24,6107,1
61112018-07-24,2018-07-24,6111,1
61132018-07-24,2018-07-24,6113,1
61152018-07-24,2018-07-24,6115,1
60052018-07-25,2018-07-25,6005,1
60072018-07-25,2018-07-25,6007,1
60092018-07-25,2018-07-25,6009,1
60112018-07-25,2018-07-25,6011,1
60132018-07-25,2018-07-25,6013,1
60172018-07-25,2018-07-25,6017,1
60192018-07-25,2018-07-25,6019,1
60212018-07-25,2018-07-25,6021,1
60252018-07-25,2018-07-25,6025,1
60272018-07-25,2018-07-25,6027,1
60292018-07-25,2018-07-25,6029,1
60312018-07-25,2018-07-25,6031,1
60332018-07-25,2018-07-25,6033,1
60352018-07-25,2018-07-25,6035,1
60372018-07-25,2018-07-25,6037,1
60392018-07-25,2018-07-25,6039,1
60432018-07-25,2018-07-25,6043,1
60452018-07-25,2018-07-25,6045,1
60472018-07-25,2018-07-25,6047,1
60492018-07-25,2018-07-25,6049,1
60532018-07-25,2018-07-25,6053,1
60552018-07-25,2018-07-25,6055,1
60572018-07-25,2018-07-25,6057,1
60592018-07-25,2018-07-25,6059,1
60612018-07-25,2018-07-25,6061,1
60652018-07-25,2018-07-25,6065,1
60672018-07-25,2018-07-25,6067,1
60692018-07-25,2018-07-25,6069,1
60712018-07-25,2018-07-25,6071,1
60732018-07-25,2018-07-25,6073,1
60772018-07-25,2018-07-25,6077,1
60792018-07-25,2018-07-25,6079,1
60832018-07-25,2018-07-25,6083,1
60852018-07-25,2018-07-25,6085,1
60892018-07-25,2018-07-25,6089,1
60932018-07-25,2018-07-25,6093,1
60952018-07-25,2018-07-25,6095,1
60992018-07-25,2018-07-25,6099,1
61012018-07-25,2018-07-25,6101,1
61032018-07-25,2018-07-25,6103,1
61052018-07-25,2018-07-25,6105,1
61072018-07-25,2018-07-25,6107,1
61112018-07-25,2018-07-25,6111,1
61132018-07-25,2018-07-25,6113,1
61152018-07-25,2018-07-25,6115,1
60052018-07-26,2018-07-26,6005,1
60072018-07-26,2018-07-26,6007,1
60092018-07-26,2018-07-26,6009,1
60112018-07-26,2018-07-26,6011,1
60132018-07-26,2018-07-26,6013,1
60172018-07-26,2018-07-26,6017,1
60192018-07-26,2018-07-26,6019,1
60212018-07-26,2018-07-26,6021,1
60252018-07-26,2018-07-26,6025,1
60272018-07-26,2018-07-26,6027,1
60292018-07-26,2018-07-26,6029,1
60312018-07-26,2018-07-26,6031,1
60332018-07-26,2018-07-26,6033,1
60372018-07-26,2018-07-26,6037,1
60392018-07-26,2018-07-26,6039,1
60432018-07-26,2018-07-26,6043,1
60452018-07-26,2018-07-26,6045,1
60472018-07-26,2018-07-26,6047,1
60532018-07-26,2018-07-26,6053,1
60552018-07-26,2018-07-26,6055,1
60572018-07-26,2018-07-26,6057,1
60592018-07-26,2018-07-26,6059,1
60612018-07-26,2018-07-26,6061,1
60632018-07-26,2018-07-26,6063,1
60652018-07-26,2018-07-26,6065,1
60672018-07-26,2018-07-26,6067,1
60692018-07-26,2018-07-26,6069,1
60712018-07-26,2018-07-26,6071,1
60732018-07-26,2018-07-26,6073,1
60772018-07-26,2018-07-26,6077,1
60792018-07-26,2018-07-26,6079,1
60832018-07-26,2018-07-26,6083,1
60852018-07-26,2018-07-26,6085,1
60892018-07-26,2018-07-26,6089,1
60932018-07-26,2018-07-26,6093,1
60952018-07-26,2018-07-26,6095,1
60992018-07-26,2018-07-26,6099,1
61012018-07-26,2018-07-26,6101,1
61032018-07-26,2018-07-26,6103,1
61052018-07-26,2018-07-26,6105,1
61072018-07-26,2018-07-26,6107,1
61112018-07-26,2018-07-26,6111,1
61132018-07-26,2018-07-26,6113,1
61152018-07-26,2018-07-26,6115,1
60052018-07-27,2018-07-27,6005,1
60072018-07-27,2018-07-27,6007,1
60092018-07-27,2018-07-27,6009,1
60112018-07-27,2018-07-27,6011,1
60172018-07-27,2018-07-27,6017,1
60192018-07-27,2018-07-27,6019,1
60212018-07-27,2018-07-27,6021,1
60252018-07-27,2018-07-27,6025,1
60272018-07-27,2018-07-27,6027,1
60292018-07-27,2018-07-27,6029,1
60312018-07-27,2018-07-27,6031,1
60332018-07-27,2018-07-27,6033,1
60372018-07-27,2018-07-27,6037,1
60392018-07-27,2018-07-27,6039,1
60432018-07-27,2018-07-27,6043,1
60452018-07-27,2018-07-27,6045,1
60472018-07-27,2018-07-27,6047,1
60532018-07-27,2018-07-27,6053,1
60552018-07-27,2018-07-27,6055,1
60572018-07-27,2018-07-27,6057,1
60612018-07-27,2018-07-27,6061,1
60632018-07-27,2018-07-27,6063,1
60652018-07-27,2018-07-27,6065,1
60672018-07-27,2018-07-27,6067,1
60692018-07-27,2018-07-27,6069,1
60712018-07-27,2018-07-27,6071,1
60732018-07-27,2018-07-27,6073,1
60772018-07-27,2018-07-27,6077,1
60792018-07-27,2018-07-27,6079,1
60852018-07-27,2018-07-27,6085,1
60892018-07-27,2018-07-27,6089,1
60912018-07-27,2018-07-27,6091,1
60932018-07-27,2018-07-27,6093,1
60992018-07-27,2018-07-27,6099,1
61012018-07-27,2018-07-27,6101,1
61032018-07-27,2018-07-27,6103,1
61052018-07-27,2018-07-27,6105,1
61072018-07-27,2018-07-27,6107,1
61112018-07-27,2018-07-27,6111,1
61132018-07-27,2018-07-27,6113,1
61152018-07-27,2018-07-27,6115,1
60052018-07-28,2018-07-28,6005,1
60072018-07-28,2018-07-28,6007,1
60092018-07-28,2018-07-28,6009,1
60112018-07-28,2018-07-28,6011,1
60172018-07-28,2018-07-28,6017,1
60192018-07-28,2018-07-28,6019,1
60212018-07-28,2018-07-28,6021,1
60252018-07-28,2018-07-28,6025,1
60272018-07-28,2018-07-28,6027,1
60292018-07-28,2018-07-28,6029,1
60312018-07-28,2018-07-28,6031,1
60332018-07-28,2018-07-28,6033,1
60372018-07-28,2018-07-28,6037,1
60392018-07-28,2018-07-28,6039,1
60432018-07-28,2018-07-28,6043,1
60472018-07-28,2018-07-28,6047,1
60532018-07-28,2018-07-28,6053,1
60572018-07-28,2018-07-28,6057,1
60592018-07-28,2018-07-28,6059,1
60612018-07-28,2018-07-28,6061,1
60632018-07-28,2018-07-28,6063,1
60652018-07-28,2018-07-28,6065,1
60692018-07-28,2018-07-28,6069,1
60712018-07-28,2018-07-28,6071,1
60732018-07-28,2018-07-28,6073,1
60792018-07-28,2018-07-28,6079,1
60892018-07-28,2018-07-28,6089,1
60932018-07-28,2018-07-28,6093,1
60992018-07-28,2018-07-28,6099,1
61032018-07-28,2018-07-28,6103,1
61052018-07-28,2018-07-28,6105,1
61072018-07-28,2018-07-28,6107,1
61112018-07-28,2018-07-28,6111,1
