fipdate,fips_wd,date_wd,exposed_wd
61092018-07-22,6109,2018-07-22,1
61092018-07-23,6109,2018-07-23,1
61092018-07-24,6109,2018-07-24,1
61092018-07-25,6109,2018-07-25,1
61092018-07-26,6109,2018-07-26,1
61092018-07-27,6109,2018-07-27,1
61092018-07-28,6109,2018-07-28,1
61092018-07-29,6109,2018-07-29,1
61092018-07-30,6109,2018-07-30,1
61092018-07-31,6109,2018-07-31,1
61092018-08-01,6109,2018-08-01,1
61092018-08-02,6109,2018-08-02,1
61092018-08-03,6109,2018-08-03,1
61092018-08-04,6109,2018-08-04,1
61092018-08-05,6109,2018-08-05,1
61092018-08-06,6109,2018-08-06,1
61092018-08-07,6109,2018-08-07,1
61092018-08-08,6109,2018-08-08,1
61092018-08-09,6109,2018-08-09,1
61092018-08-10,6109,2018-08-10,1
61092018-08-11,6109,2018-08-11,1
61092018-08-12,6109,2018-08-12,1
61092018-08-13,6109,2018-08-13,1
61092018-08-14,6109,2018-08-14,1
61092018-08-15,6109,2018-08-15,1
61092018-08-16,6109,2018-08-16,1
61092018-08-17,6109,2018-08-17,1
61092018-08-18,6109,2018-08-18,1
61092018-08-19,6109,2018-08-19,1
61092018-08-20,6109,2018-08-20,1
61092018-08-21,6109,2018-08-21,1
61092018-08-22,6109,2018-08-22,1
60372019-10-28,6037,2019-10-28,1
60372019-10-29,6037,2019-10-29,1
60372019-10-30,6037,2019-10-30,1
60372019-10-31,6037,2019-10-31,1
60372019-11-01,6037,2019-11-01,1
60372019-11-02,6037,2019-11-02,1
60372019-11-03,6037,2019-11-03,1
60372019-11-04,6037,2019-11-04,1
60372019-11-05,6037,2019-11-05,1
60372019-11-06,6037,2019-11-06,1
60372019-11-07,6037,2019-11-07,1
60372019-11-08,6037,2019-11-08,1
60372019-11-09,6037,2019-11-09,1
60372019-11-10,6037,2019-11-10,1
60372019-11-11,6037,2019-11-11,1
60372019-11-12,6037,2019-11-12,1
60372019-11-13,6037,2019-11-13,1
60372019-11-14,6037,2019-11-14,1
60792019-07-08,6079,2019-07-08,1
60792019-07-09,6079,2019-07-09,1
60672018-05-30,6067,2018-05-30,1
6067NA,6067,NA,1
61112018-11-08,6111,2018-11-08,1
61112018-11-09,6111,2018-11-09,1
61112018-11-10,6111,2018-11-10,1
61112018-11-11,6111,2018-11-11,1
61112018-11-12,6111,2018-11-12,1
61112018-11-13,6111,2018-11-13,1
61112018-11-14,6111,2018-11-14,1
61112018-11-15,6111,2018-11-15,1
61112018-11-16,6111,2018-11-16,1
60652019-10-30,6065,2019-10-30,1
60652019-11-01,6065,2019-11-01,1
60652019-11-02,6065,2019-11-02,1
60652019-11-03,6065,2019-11-03,1
60712019-10-31,6071,2019-10-31,1
6071NA,6071,NA,1
60892018-09-02,6089,2018-09-02,1
60892018-09-03,6089,2018-09-03,1
60892018-09-04,6089,2018-09-04,1
60832018-07-06,6083,2018-07-06,1
60832018-07-07,6083,2018-07-07,1
60832018-07-08,6083,2018-07-08,1
60832018-07-09,6083,2018-07-09,1
60832018-07-10,6083,2018-07-10,1
60592018-08-06,6059,2018-08-06,1
60592018-08-07,6059,2018-08-07,1
60592018-08-08,6059,2018-08-08,1
60592018-08-09,6059,2018-08-09,1
60592018-08-10,6059,2018-08-10,1
60592018-08-11,6059,2018-08-11,1
60592018-08-12,6059,2018-08-12,1
60592018-08-13,6059,2018-08-13,1
60592018-08-14,6059,2018-08-14,1
60592018-08-15,6059,2018-08-15,1
60592018-08-16,6059,2018-08-16,1
60592018-08-17,6059,2018-08-17,1
60592018-08-18,6059,2018-08-18,1
60592018-08-19,6059,2018-08-19,1
60592018-08-20,6059,2018-08-20,1
60592018-08-21,6059,2018-08-21,1
60592018-08-22,6059,2018-08-22,1
60592018-08-23,6059,2018-08-23,1
60592018-08-24,6059,2018-08-24,1
60592018-08-25,6059,2018-08-25,1
60592018-08-26,6059,2018-08-26,1
60592018-08-27,6059,2018-08-27,1
60592018-08-28,6059,2018-08-28,1
60592018-08-29,6059,2018-08-29,1
60592018-08-30,6059,2018-08-30,1
60592018-08-31,6059,2018-08-31,1
60592018-09-01,6059,2018-09-01,1
60592018-09-02,6059,2018-09-02,1
60592018-09-03,6059,2018-09-03,1
60592018-09-04,6059,2018-09-04,1
60592018-09-05,6059,2018-09-05,1
60592018-09-06,6059,2018-09-06,1
60592018-09-07,6059,2018-09-07,1
60592018-09-08,6059,2018-09-08,1
60592018-09-09,6059,2018-09-09,1
60592018-09-10,6059,2018-09-10,1
60592018-09-11,6059,2018-09-11,1
60592018-09-12,6059,2018-09-12,1
60592018-09-13,6059,2018-09-13,1
